Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
1990,Black Hole Sun,Soundgarden,7,1994-07-16,False
1990,Vasoline,Stone Temple Pilots,2,1994-09-03,False
1990,Interstate Love Song,Stone Temple Pilots,15,1994-09-17,False
1990,You Don't Know How It Feels,Tom Petty,1,1994-12-31,False
1990,Better Man,Pearl Jam,2,1995-01-07,False
1990,Don't Tell Me ,Van Halen,3,1995-01-21,False
1990,Better Man,Pearl Jam,6,1995-02-11,False
1990,Lightning Crashes,Live,10,1995-03-25,False
1990,December,Collective Soul,9,1995-06-03,True
1990,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,1,1995-08-05,False
1990,And Fools Shine On,Brother Cane,6,1995-08-12,False
1990,Tomorrow,Silverchair,3,1995-09-23,False
1990,Hard as a Rock,AC/DC,3,1995-10-14,False
1990,Name,Goo Goo Dolls,5,1995-11-04,False
1990,My Friends,Red Hot Chili Peppers,4,1995-12-09,False
1990,Cumbersome,Seven Mary Three,4,1996-01-06,False
1990,The World I Know,Collective Soul,4,1996-02-03,False
1990,1979,The Smashing Pumpkins,2,1996-03-02,False
1990,Santa Monica,Everclear,3,1996-03-16,False
1990,In the Meantime,Spacehog,4,1996-04-06,False
1990,Big Bang Baby,Stone Temple Pilots,1,1996-05-04,False
1990,Where the River Flows,Collective Soul,2,1996-05-11,False
1990,Humans Being,Van Halen,2,1996-05-25,False
1990,Until It Sleeps,Metallica,7,1996-06-08,False
1990,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,1,1996-07-27,False
1990,Until It Sleeps,Metallica,1,1996-08-03,False
1990,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,3,1996-08-10,False
1990,Burden in My Hand,Soundgarden,5,1996-08-31,False
1990,Test for Echo,Rush,3,1996-10-05,False
1990,Me Wise Magic,Van Halen,6,1996-10-26,False
1990,Hero of the Day,Metallica,3,1996-12-07,False
1990,Blow Up the Outside World,Soundgarden,3,1996-12-28,False
1990,Lady Picture Show,Stone Temple Pilots,1,1997-01-18,False
1990,Blow Up the Outside World,Soundgarden,1,1997-01-25,False
1990,One Headlight,The Wallflowers,5,1997-02-01,False
1990,Falling in Love ,Aerosmith,5,1997-03-08,False
