Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date,Scraped Band
Jack & Diane,John Cougar,06.26.82,3,12 Wks,09.11.82,John-Mellencamp
Rumbleseat,John Mellencamp,07.05.86,4,12 Wks,07.26.86,John-Mellencamp
Rooty Toot Toot,John Mellencamp,05.07.88,7,12 Wks,06.11.88,John-Mellencamp
Dance Naked,John Mellencamp,10.15.94,21,12 Wks,11.26.94,John-Mellencamp
Let It All Hang Out,John Mellencamp,06.03.89,42,12 Wks,07.01.89,John-Mellencamp
Jackie Brown,John Mellencamp,07.08.89,20,12 Wks,08.12.89,John-Mellencamp
Pop Singer,John Mellencamp,04.29.89,2,12 Wks,05.06.89,John-Mellencamp
Under The Boardwalk,John Mellencamp,02.15.86,19,12 Wks,03.01.86,John-Mellencamp
Rave On,John Mellencamp,09.10.88,17,12 Wks,10.08.88,John-Mellencamp
Rain On The Scarecrow,John Mellencamp,05.03.86,16,12 Wks,05.24.86,John-Mellencamp
Thundering Hearts,John Cougar,09.25.82,36,12 Wks,09.25.82,John-Mellencamp
PLAY GUITAR,John Mellencamp,02.04.84,28,12 Wks,02.18.84,John-Mellencamp
When Jesus Left Birmingham,John Mellencamp,12.18.93,35,12 Wks,12.25.93,John-Mellencamp
Junior,John Mellencamp,02.05.94,35,12 Wks,02.19.94,John-Mellencamp
I'm Not Running Anymore,John Mellencamp,02.13.99,37,12 Wks,02.20.99,John-Mellencamp
Serious Business,John Cougar Mellencamp,01.28.84,34,12 Wks,01.28.84,John-Mellencamp
Peaceful World,John Mellencamp Featuring India.Arie,10.06.01,38,12 Wks,10.20.01,John-Mellencamp
Ain't Even Done With The Night,John Cougar,03.21.81,44,12 Wks,03.28.81,John-Mellencamp
Down With The Sickness,Disturbed,06.16.01,5,12 Wks,10.06.01,Disturbed
Inside The Fire,Disturbed,04.12.08,1,14 WKS,05.17.08,Disturbed
Land Of Confusion,Disturbed,07.15.06,1,3 WKS,11.04.06,Disturbed
Prayer,Disturbed,08.17.02,3,12 Wks,10.05.02,Disturbed
Stricken,Disturbed,08.06.05,2,12 Wks,11.26.05,Disturbed
Indestructible,Disturbed,09.13.08,2,12 Wks,01.03.09,Disturbed
Stupify,Disturbed,05.20.00,12,12 Wks,09.09.00,Disturbed
Remember,Disturbed,12.28.02,6,12 Wks,04.12.03,Disturbed
Just Stop,Disturbed,12.31.05,4,12 Wks,04.15.06,Disturbed
Another Way To Die,Disturbed,07.03.10,1,8 WKS,08.07.10,Disturbed
The Sound Of Silence,Disturbed,02.06.16,1,7 WKS,03.19.16,Disturbed
The Night,Disturbed,02.28.09,2,12 Wks,05.09.09,Disturbed
The Animal,Disturbed,10.23.10,2,12 Wks,01.29.11,Disturbed
Liberate,Disturbed,06.21.03,4,12 Wks,11.01.03,Disturbed
Open Your Eyes,Disturbed,08.06.16,1,1 WKS,11.26.16,Disturbed
Voices,Disturbed,12.16.00,16,12 Wks,02.17.01,Disturbed
Ten Thousand Fists,Disturbed,12.23.06,7,12 Wks,02.24.07,Disturbed
Are You Ready,Disturbed,08.25.18,1,8 WKS,09.29.18,Disturbed
The Light,Disturbed,10.17.15,1,5 WKS,12.19.15,Disturbed
Guarded,Disturbed,07.09.05,7,12 Wks,07.30.05,Disturbed
Warrior,Disturbed,03.26.11,4,12 Wks,06.25.11,Disturbed
The Vengeful One,Disturbed,07.11.15,1,1 WKS,08.29.15,Disturbed
Hell,Disturbed,10.22.11,15,12 Wks,12.10.11,Disturbed
A Reason To Fight,Disturbed,01.19.19,1,3 WKS,03.30.19,Disturbed
No More,Disturbed,06.08.19,1,4 WKS,09.07.19,Disturbed
Hold On To Memories,Disturbed,01.18.20,3,12 Wks,04.18.20,Disturbed
Hey You,Disturbed,07.23.22,1,3 WKS,09.03.22,Disturbed
Unstoppable,Disturbed,05.06.23,1,2 WKS,08.19.23,Disturbed
Bad Man,Disturbed,11.26.22,2,12 Wks,03.04.23,Disturbed
Don't Tell Me,Disturbed Featuring Ann Wilson,11.18.23,3,12 Wks,03.02.24,Disturbed
The Game,Disturbed,02.02.02,34,12 Wks,03.09.02,Disturbed
Free Fallin',Tom Petty,05.06.89,1,1 WKS,08.26.89,Tom-Petty-and-the-Heartbreakers
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,11.06.93,1,2 WKS,11.20.93,Tom-Petty-and-the-Heartbreakers
You Wreck Me,Tom Petty,12.10.94,2,12 Wks,02.25.95,Tom-Petty-and-the-Heartbreakers
A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers,05.16.81,5,12 Wks,07.18.81,Tom-Petty-and-the-Heartbreakers
Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,08.01.81,2,12 Wks,08.29.81,Tom-Petty-and-the-Heartbreakers
The Waiting,Tom Petty And The Heartbreakers,05.02.81,1,6 WKS,05.09.81,Tom-Petty-and-the-Heartbreakers
You Don't Know How It Feels,Tom Petty,11.05.94,1,1 WKS,12.31.94,Tom-Petty-and-the-Heartbreakers
Runnin' Down A Dream,Tom Petty,05.06.89,1,1 WKS,06.24.89,Tom-Petty-and-the-Heartbreakers
Into The Great Wide Open,Tom Petty And The Heartbreakers,09.21.91,4,12 Wks,11.02.91,Tom-Petty-and-the-Heartbreakers
Nightwatchman,Tom Petty And The Heartbreakers,05.23.81,21,12 Wks,06.06.81,Tom-Petty-and-the-Heartbreakers
Out In The Cold,Tom Petty And The Heartbreakers,07.13.91,1,2 WKS,09.07.91,Tom-Petty-and-the-Heartbreakers
Love Is A Long Road,Tom Petty,09.23.89,7,12 Wks,10.28.89,Tom-Petty-and-the-Heartbreakers
Saving Grace,Tom Petty,07.08.06,26,12 Wks,08.12.06,Tom-Petty-and-the-Heartbreakers
Climb That Hill,Tom Petty And The Heartbreakers,10.12.96,6,12 Wks,11.16.96,Tom-Petty-and-the-Heartbreakers
It's Good To Be King,Tom Petty,04.08.95,6,12 Wks,05.20.95,Tom-Petty-and-the-Heartbreakers
YOU GOT LUCKY,Tom Petty And The Heartbreakers,11.13.82,1,3 WKS,12.11.82,Tom-Petty-and-the-Heartbreakers
Learning To Fly,Tom Petty And The Heartbreakers,06.22.91,1,6 WKS,06.29.91,Tom-Petty-and-the-Heartbreakers
Waiting For Tonight,Tom Petty And The Heartbreakers,12.09.95,6,12 Wks,01.06.96,Tom-Petty-and-the-Heartbreakers
A Face In The Crowd,Tom Petty,01.27.90,5,12 Wks,03.10.90,Tom-Petty-and-the-Heartbreakers
King's Highway,Tom Petty And The Heartbreakers,12.21.91,4,12 Wks,01.25.92,Tom-Petty-and-the-Heartbreakers
Rebels,Tom Petty,04.06.85,5,12 Wks,05.18.85,Tom-Petty-and-the-Heartbreakers
Free Girl Now,Tom Petty And The Heartbreakers,03.13.99,5,12 Wks,03.13.99,Tom-Petty-and-the-Heartbreakers
I Won't Back Down,Tom Petty,04.15.89,1,5 WKS,04.22.89,Tom-Petty-and-the-Heartbreakers
The Last DJ,Tom Petty And The Heartbreakers,09.28.02,22,12 Wks,11.09.02,Tom-Petty-and-the-Heartbreakers
Yer So Bad,Tom Petty,04.21.90,5,12 Wks,05.26.90,Tom-Petty-and-the-Heartbreakers
Walls,Tom Petty And The Heartbreakers,07.27.96,6,12 Wks,08.24.96,Tom-Petty-and-the-Heartbreakers
Runaway Trains,Tom Petty And The Heartbreakers,05.09.87,6,12 Wks,07.04.87,Tom-Petty-and-the-Heartbreakers
Don't Come Around Here No More,Tom Petty And The Heartbreakers,03.16.85,2,12 Wks,04.06.85,Tom-Petty-and-the-Heartbreakers
CHANGE OF HEART,Tom Petty And The Heartbreakers,11.27.82,10,12 Wks,03.19.83,Tom-Petty-and-the-Heartbreakers
Jammin' Me,Tom Petty And The Heartbreakers,04.18.87,1,4 WKS,05.09.87,Tom-Petty-and-the-Heartbreakers
Room At The Top,Tom Petty And The Heartbreakers,04.24.99,19,12 Wks,05.29.99,Tom-Petty-and-the-Heartbreakers
A Higher Place,Tom Petty,07.22.95,12,12 Wks,08.19.95,Tom-Petty-and-the-Heartbreakers
Change The Locks,Tom Petty And The Heartbreakers,01.04.97,20,12 Wks,02.15.97,Tom-Petty-and-the-Heartbreakers
Swingin',Tom Petty And The Heartbreakers,07.31.99,17,12 Wks,09.18.99,Tom-Petty-and-the-Heartbreakers
Needles And Pins,Tom Petty,12.28.85,17,12 Wks,02.01.86,Tom-Petty-and-the-Heartbreakers
So You Want To Be A Rock & Roll Star,Tom Petty,12.21.85,9,12 Wks,01.25.86,Tom-Petty-and-the-Heartbreakers
ONE STORY TOWN,Tom Petty And The Heartbreakers,12.04.82,15,12 Wks,12.25.82,Tom-Petty-and-the-Heartbreakers
Make It Better (Forget About Me),Tom Petty And The Heartbreakers,06.08.85,12,12 Wks,07.06.85,Tom-Petty-and-the-Heartbreakers
Think About Me,Tom Petty And The Heartbreakers,05.09.87,36,12 Wks,07.25.87,Tom-Petty-and-the-Heartbreakers
Something In The Air,Tom Petty And The Heartbreakers,02.05.94,19,12 Wks,02.26.94,Tom-Petty-and-the-Heartbreakers
Makin' Some Noise,Tom Petty And The Heartbreakers,03.21.92,30,12 Wks,04.25.92,Tom-Petty-and-the-Heartbreakers
Feel A Whole Lot Better,Tom Petty,05.06.89,18,12 Wks,05.20.89,Tom-Petty-and-the-Heartbreakers
All Mixed Up,Tom Petty And The Heartbreakers,08.01.87,19,12 Wks,08.15.87,Tom-Petty-and-the-Heartbreakers
Cabin Down Below,Tom Petty,11.11.95,29,12 Wks,11.25.95,Tom-Petty-and-the-Heartbreakers
I Will Run To You,Stevie Nicks With Tom Petty And The Heartbreakers,07.23.83,35,12 Wks,07.23.83,Tom-Petty-and-the-Heartbreakers
WE STAND A CHANCE,Tom Petty And The Heartbreakers,11.27.82,37,12 Wks,11.27.82,Tom-Petty-and-the-Heartbreakers
I Should Have Known It,Tom Petty And The Heartbreakers,07.03.10,40,12 Wks,07.03.10,Tom-Petty-and-the-Heartbreakers
BETWEEN TWO WORLDS,Tom Petty And The Heartbreakers,12.04.82,35,12 Wks,12.04.82,Tom-Petty-and-the-Heartbreakers
Heaven Knows,The Pretty Reckless,12.14.13,1,5 WKS,03.22.14,The-Pretty-Reckless
Follow Me Down,The Pretty Reckless,12.06.14,1,1 WKS,05.02.15,The-Pretty-Reckless
Take Me Down,The Pretty Reckless,07.30.16,1,2 WKS,11.05.16,The-Pretty-Reckless
Death By Rock And Roll,The Pretty Reckless,05.23.20,1,3 WKS,08.01.20,The-Pretty-Reckless
Messed Up World,The Pretty Reckless,06.28.14,1,4 WKS,09.13.14,The-Pretty-Reckless
Oh My God,The Pretty Reckless,12.31.16,2,12 Wks,03.18.17,The-Pretty-Reckless
And So It Went,The Pretty Reckless Featuring Tom Morello,01.23.21,1,2 WKS,04.24.21,The-Pretty-Reckless
Only Love Can Save Me Now,The Pretty Reckless Featuring Matt Cameron & Kim Thayil,06.26.21,1,3 WKS,09.25.21,The-Pretty-Reckless
Back To The River,Pretty Reckless Featuring Warren Haynes,06.10.17,12,12 Wks,08.05.17,The-Pretty-Reckless
Rough Boy,ZZ Top,01.18.86,5,12 Wks,04.19.86,ZZ-Top
Stages,ZZ Top,11.23.85,1,2 WKS,02.08.86,ZZ-Top
Tube Snake Boogie,ZZ Top,08.08.81,4,12 Wks,09.12.81,ZZ-Top
Legs,ZZ Top,04.14.84,3,12 Wks,06.09.84,ZZ-Top
My Head's In Mississippi,ZZ Top,10.27.90,1,6 WKS,12.08.90,ZZ-Top
Give It Up,ZZ Top,12.22.90,2,12 Wks,01.26.91,ZZ-Top
Got Me Under Pressure,ZZ Top,04.16.83,18,12 Wks,05.14.83,ZZ-Top
Sleeping Bag,ZZ Top,10.19.85,1,2 WKS,11.09.85,ZZ-Top
Can't Stop Rockin',ZZ Top,11.09.85,8,12 Wks,12.21.85,ZZ-Top
Sharp Dressed Man,ZZ Top,07.09.83,8,12 Wks,07.09.83,ZZ-Top
Gimme All Your Lovin',ZZ Top,04.16.83,2,12 Wks,04.30.83,ZZ-Top
Doubleback,ZZ Top,05.12.90,1,5 WKS,05.19.90,ZZ-Top
What's Up With That,ZZ Top,09.14.96,5,12 Wks,10.05.96,ZZ-Top
Pearl Necklace,ZZ Top,08.15.81,28,12 Wks,09.19.81,ZZ-Top
Bang Bang,ZZ Top,11.30.96,22,12 Wks,01.18.97,ZZ-Top
Velcro Fly,ZZ Top,07.05.86,15,12 Wks,08.16.86,ZZ-Top
She's Just Killing Me,ZZ Top,02.17.96,12,12 Wks,03.23.96,ZZ-Top
Breakaway,ZZ Top,03.12.94,7,12 Wks,04.16.94,ZZ-Top
Fearless Boogie,ZZ Top,10.02.99,13,12 Wks,10.16.99,ZZ-Top
Concrete And Steel,ZZ Top,10.06.90,1,4 WKS,10.13.90,ZZ-Top
Pincushion,ZZ Top,01.22.94,1,4 WKS,01.29.94,ZZ-Top
Delirious,ZZ Top,02.15.86,16,12 Wks,03.01.86,ZZ-Top
Fuzzbox Voodoo,ZZ Top,08.13.94,30,12 Wks,08.27.94,ZZ-Top
Decision Or Collision,ZZ Top,03.09.91,14,12 Wks,04.06.91,ZZ-Top
Girl In A T-Shirt,ZZ Top,05.28.94,27,12 Wks,06.18.94,ZZ-Top
Gun Love,ZZ Top,05.09.92,8,12 Wks,05.30.92,ZZ-Top
TV Dinners,ZZ Top,12.10.83,38,12 Wks,12.10.83,ZZ-Top
Woke Up With Wood,ZZ Top,05.24.86,18,12 Wks,06.14.86,ZZ-Top
36-22-36,ZZ Top,02.05.00,31,12 Wks,02.12.00,ZZ-Top
Rhythmeen,ZZ Top,05.03.97,35,12 Wks,05.24.97,ZZ-Top
Viva Las Vegas,ZZ Top,04.18.92,16,12 Wks,04.18.92,ZZ-Top
Animal I Have Become,Three Days Grace,04.22.06,1,7 WKS,07.29.06,Three-Days-Grace
(I Hate) Everything About You,Three Days Grace,08.02.03,4,12 Wks,12.20.03,Three-Days-Grace
Never Too Late,Three Days Grace,05.19.07,1,7 WKS,08.18.07,Three-Days-Grace
Pain,Three Days Grace,10.14.06,1,13 WKS,12.23.06,Three-Days-Grace
Break,Three Days Grace,09.19.09,1,11 WKS,12.12.09,Three-Days-Grace
Just Like You,Three Days Grace,04.17.04,1,3 WKS,08.21.04,Three-Days-Grace
Chalk Outline,Three Days Grace,09.01.12,1,13 WKS,09.22.12,Three-Days-Grace
The Good Life,Three Days Grace,02.20.10,1,5 WKS,05.29.10,Three-Days-Grace
Misery Loves My Company,Three Days Grace,06.22.13,1,1 WKS,11.02.13,Three-Days-Grace
Riot,Three Days Grace,11.10.07,12,12 Wks,05.17.08,Three-Days-Grace
Home,Three Days Grace,10.23.04,2,12 Wks,01.22.05,Three-Days-Grace
World So Cold,Three Days Grace,08.21.10,1,5 WKS,12.11.10,Three-Days-Grace
I Am Machine,Three Days Grace,10.18.14,1,6 WKS,02.07.15,Three-Days-Grace
The High Road,Three Days Grace,01.12.13,1,1 WKS,04.27.13,Three-Days-Grace
I Am The Weapon,Three Days Grace,10.08.22,4,12 Wks,04.01.23,Three-Days-Grace
Right Left Wrong,Three Days Grace,11.24.18,1,3 WKS,04.20.19,Three-Days-Grace
Somebody That I Used To Know,Three Days Grace,08.01.20,4,12 Wks,12.19.20,Three-Days-Grace
So Called Life,Three Days Grace,12.11.21,1,4 WKS,02.05.22,Three-Days-Grace
The Mountain,Three Days Grace,02.03.18,1,5 WKS,03.31.18,Three-Days-Grace
Painkiller,Three Days Grace,04.19.14,1,4 WKS,06.21.14,Three-Days-Grace
Human Race,Three Days Grace,04.11.15,3,12 Wks,06.27.15,Three-Days-Grace
Fallen Angel,Three Days Grace,10.03.15,6,12 Wks,01.23.16,Three-Days-Grace
Lost In You,Three Days Grace,02.19.11,7,12 Wks,06.11.11,Three-Days-Grace
Lifetime,Three Days Grace,04.23.22,1,3 WKS,07.09.22,Three-Days-Grace
Infra-Red,Three Days Grace,06.23.18,1,1 WKS,09.15.18,Three-Days-Grace
Forever,Papa Roach,01.27.07,2,12 Wks,04.14.07,Papa-Roach
Last Resort,Papa Roach,05.06.00,4,12 Wks,09.23.00,Papa-Roach
Getting Away With Murder,Papa Roach,07.24.04,2,12 Wks,10.09.04,Papa-Roach
Kill The Noise,Papa Roach,09.18.21,1,4 WKS,11.20.21,Papa-Roach
Leader Of The Broken Hearts,Papa Roach,06.01.13,4,12 Wks,10.19.13,Papa-Roach
Lifeline,Papa Roach,01.31.09,1,6 WKS,04.18.09,Papa-Roach
Burn,Papa Roach,12.25.10,3,12 Wks,04.16.11,Papa-Roach
Scars,Papa Roach,11.20.04,4,12 Wks,02.05.05,Papa-Roach
Come Around,Papa Roach,08.10.19,1,1 WKS,12.07.19,Papa-Roach
Gravity,Papa Roach,06.20.15,5,12 Wks,11.14.15,Papa-Roach
She Loves Me Not,Papa Roach,05.18.02,3,12 Wks,08.03.02,Papa-Roach
To Be Loved,Papa Roach,08.12.06,8,12 Wks,11.18.06,Papa-Roach
Kick In The Teeth,Papa Roach,07.03.10,2,12 Wks,10.23.10,Papa-Roach
Where Did The Angels Go,Papa Roach,12.15.12,2,12 Wks,04.13.13,Papa-Roach
American Dreams,Papa Roach,06.10.17,3,12 Wks,09.30.17,Papa-Roach
Elevate,Papa Roach,02.16.19,4,12 Wks,06.22.19,Papa-Roach
Face Everything And Rise,Papa Roach,11.22.14,1,1 WKS,03.21.15,Papa-Roach
Help,Papa Roach,03.11.17,1,6 WKS,04.15.17,Papa-Roach
No Matter What,Papa Roach,07.30.11,13,12 Wks,11.26.11,Papa-Roach
Still Swinging,Papa Roach,08.11.12,3,12 Wks,10.13.12,Papa-Roach
Broken Home,Papa Roach,09.30.00,18,12 Wks,12.09.00,Papa-Roach
Born For Greatness,Papa Roach,11.25.17,1,3 WKS,02.10.18,Papa-Roach
Falling Apart,Papa Roach,01.23.16,7,12 Wks,05.14.16,Papa-Roach
The Ending,Papa Roach,12.05.20,1,1 WKS,03.13.21,Papa-Roach
Who Do You Trust?,Papa Roach,10.20.18,3,12 Wks,02.02.19,Papa-Roach
Cut The Line,Papa Roach,02.11.23,1,1 WKS,05.13.23,Papa-Roach
No Apologies,Papa Roach,06.18.22,1,1 WKS,09.24.22,Papa-Roach
Take Me,Papa Roach,04.30.05,11,12 Wks,07.30.05,Papa-Roach
Time Is Running Out,Papa Roach,08.11.07,15,12 Wks,10.20.07,Papa-Roach
Leave A Light On,Papa Roach,11.11.23,1,2 WKS,02.24.24,Papa-Roach
Stand Up,Papa Roach,02.05.22,12,12 Wks,04.02.22,Papa-Roach
I Almost Told You That I Loved You,Papa Roach,06.27.09,20,12 Wks,08.15.09,Papa-Roach
Time And Time Again,Papa Roach,10.05.02,26,12 Wks,11.16.02,Papa-Roach
Between Angels And Insects,Papa Roach,03.03.01,27,12 Wks,03.24.01,Papa-Roach
Swerve,Papa Roach Featuring Jason Aalon Butler & Sueco,08.14.21,35,12 Wks,09.11.21,Papa-Roach
Hollywood Whore,Papa Roach,01.10.09,37,12 Wks,01.24.09,Papa-Roach
Reckless,Papa Roach,01.26.08,40,12 Wks,01.26.08,Papa-Roach
Best Of You,Foo Fighters,05.07.05,1,4 WKS,07.30.05,Foo-Fighters
All My Life,Foo Fighters,09.21.02,3,12 Wks,12.28.02,Foo-Fighters
The Pretender,Foo Fighters,08.18.07,1,6 WKS,10.06.07,Foo-Fighters
Walk,Foo Fighters,06.25.11,1,4 WKS,09.10.11,Foo-Fighters
These Days,Foo Fighters,11.12.11,3,12 Wks,03.17.12,Foo-Fighters
Learn To Fly,Foo Fighters,10.02.99,2,12 Wks,11.27.99,Foo-Fighters
Everlong,Foo Fighters,08.23.97,4,12 Wks,10.18.97,Foo-Fighters
My Hero,Foo Fighters,01.31.98,8,12 Wks,04.18.98,Foo-Fighters
Times Like These,Foo Fighters,02.01.03,5,12 Wks,04.12.03,Foo-Fighters
DOA,Foo Fighters,09.10.05,5,12 Wks,12.03.05,Foo-Fighters
The Sky Is A Neighborhood,Foo Fighters,09.09.17,1,4 WKS,12.09.17,Foo-Fighters
Rope,Foo Fighters,03.12.11,1,5 WKS,04.02.11,Foo-Fighters
Long Road To Ruin,Foo Fighters,12.15.07,2,12 Wks,03.08.08,Foo-Fighters
Let It Die,Foo Fighters,05.10.08,5,12 Wks,07.26.08,Foo-Fighters
Making A Fire,Foo Fighters,06.19.21,1,1 WKS,09.18.21,Foo-Fighters
Love Dies Young,Foo Fighters,12.04.21,3,12 Wks,03.26.22,Foo-Fighters
Rescued,Foo Fighters,04.29.23,1,6 WKS,05.20.23,Foo-Fighters
Under You,Foo Fighters,08.12.23,1,1 WKS,09.30.23,Foo-Fighters
Waiting On A War,Foo Fighters,02.06.21,1,2 WKS,04.10.21,Foo-Fighters
Wheels,Foo Fighters,10.10.09,4,12 Wks,11.21.09,Foo-Fighters
Something From Nothing,Foo Fighters,11.01.14,1,13 WKS,11.08.14,Foo-Fighters
Congregation,Foo Fighters,02.14.15,1,3 WKS,04.04.15,Foo-Fighters
Saint Cecilia,Foo Fighters,12.19.15,3,12 Wks,02.20.16,Foo-Fighters
Run,Foo Fighters,06.17.17,1,4 WKS,07.29.17,Foo-Fighters
Shame Shame,Foo Fighters,11.14.20,1,6 WKS,12.19.20,Foo-Fighters
No Way Back,Foo Fighters,02.18.06,6,12 Wks,04.01.06,Foo-Fighters
Monkey Wrench,Foo Fighters,05.10.97,9,12 Wks,06.14.97,Foo-Fighters
The Line,Foo Fighters,05.12.18,4,12 Wks,07.07.18,Foo-Fighters
Bridge Burning,Foo Fighters,04.07.12,14,12 Wks,06.23.12,Foo-Fighters
Outside,Foo Fighters,08.22.15,7,12 Wks,10.17.15,Foo-Fighters
I'll Stick Around,Foo Fighters,10.07.95,12,12 Wks,12.02.95,Foo-Fighters
This Is A Call,Foo Fighters,07.08.95,6,12 Wks,08.26.95,Foo-Fighters
Stacked Actors,Foo Fighters,02.12.00,9,12 Wks,04.01.00,Foo-Fighters
Breakout,Foo Fighters,05.13.00,11,12 Wks,06.24.00,Foo-Fighters
The One,Foo Fighters,12.29.01,20,12 Wks,02.09.02,Foo-Fighters
Big Me,Foo Fighters,03.02.96,18,12 Wks,04.06.96,Foo-Fighters
Low,Foo Fighters,07.26.03,23,12 Wks,09.06.03,Foo-Fighters
The Glass,Foo Fighters,01.20.24,8,12 Wks,02.24.24,Foo-Fighters
Baker Street,Foo Fighters,04.18.98,34,12 Wks,05.16.98,Foo-Fighters
No Son Of Mine,Foo Fighters,01.23.21,32,12 Wks,01.30.21,Foo-Fighters
Edge Of Seventeen (Just Like The White Winged Dove),Stevie Nicks,08.08.81,4,12 Wks,09.19.81,Stevie-Nicks
Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,08.01.81,2,12 Wks,08.29.81,Stevie-Nicks
Stand Back,Stevie Nicks,06.04.83,2,12 Wks,06.25.83,Stevie-Nicks
I Can't Wait,Stevie Nicks,11.30.85,6,12 Wks,01.25.86,Stevie-Nicks
Rooms On Fire,Stevie Nicks,05.06.89,1,1 WKS,06.17.89,Stevie-Nicks
Talk To Me,Stevie Nicks,11.16.85,1,2 WKS,12.14.85,Stevie-Nicks
ENCHANTED,Stevie Nicks,07.16.83,12,12 Wks,08.27.83,Stevie-Nicks
Long Way To Go,Stevie Nicks,07.01.89,11,12 Wks,08.19.89,Stevie-Nicks
Leather And Lace,Stevie Nicks With Don Henley,11.28.81,26,12 Wks,01.09.82,Stevie-Nicks
IF ANYONE FALLS,Stevie Nicks,09.24.83,8,12 Wks,10.15.83,Stevie-Nicks
NOTHING EVER CHANGES,Stevie Nicks,07.30.83,19,12 Wks,08.20.83,Stevie-Nicks
Sometimes (It's A Bitch),Stevie Nicks,08.31.91,7,12 Wks,09.07.91,Stevie-Nicks
Violet And Blue,Stevie Nicks,03.31.84,19,12 Wks,04.28.84,Stevie-Nicks
I Will Run To You,Stevie Nicks With Tom Petty And The Heartbreakers,07.23.83,35,12 Wks,07.23.83,Stevie-Nicks
Maybe Love Will Change Your Mind,Stevie Nicks,06.25.94,36,12 Wks,07.02.94,Stevie-Nicks
Nightbird,Stevie Nicks,02.11.84,32,12 Wks,02.11.84,Stevie-Nicks
Headstrong,Trapt,10.26.02,1,1 WKS,07.26.03,Trapt
Still Frame,Trapt,07.12.03,1,1 WKS,12.06.03,Trapt
Stand Up,Trapt,07.30.05,3,12 Wks,11.26.05,Trapt
Who's Going Home With You Tonight?,Trapt,06.28.08,12,12 Wks,12.06.08,Trapt
Contagious,Trapt,02.28.09,18,12 Wks,07.11.09,Trapt
Sound Off,Trapt,09.11.10,16,12 Wks,12.18.10,Trapt
Bring It,Trapt,11.03.12,19,12 Wks,03.16.13,Trapt
Passenger,Trapt,07.25.15,24,12 Wks,11.07.15,Trapt
Love Hate Relationship,Trapt,07.13.13,29,12 Wks,08.17.13,Trapt
Echo,Trapt,02.07.04,13,12 Wks,03.20.04,Trapt
Waiting,Trapt,02.04.06,20,12 Wks,03.11.06,Trapt
Disconnected (Out Of Touch),Trapt,05.27.06,24,12 Wks,07.15.06,Trapt
It's Over,Trapt,10.22.16,33,12 Wks,11.19.16,Trapt
IN THE DARK,Billy Squier,05.02.81,7,12 Wks,07.11.81,Billy-Squier
The Stroke,Billy Squier,05.16.81,3,12 Wks,07.04.81,Billy-Squier
Everybody Wants You,Billy Squier,08.07.82,1,6 WKS,08.28.82,Billy-Squier
LONELY IS THE NIGHT (BILLY SQUIER),Billy Squier,08.08.81,28,12 Wks,10.31.81,Billy-Squier
Rock Me Tonite,Billy Squier,07.07.84,1,2 WKS,08.04.84,Billy-Squier
Don't Say You Love Me,Billy Squier,06.03.89,4,12 Wks,07.15.89,Billy-Squier
MY KINDA LOVER,Billy Squier,06.20.81,31,12 Wks,08.15.81,Billy-Squier
All Night Long,Billy Squier,08.11.84,10,12 Wks,09.22.84,Billy-Squier
Learn How To Live,Billy Squier,10.02.82,15,12 Wks,10.30.82,Billy-Squier
She Goes Down,Billy Squier,03.30.91,4,12 Wks,05.11.91,Billy-Squier
Tied Up,Billy Squier,08.19.89,20,12 Wks,09.30.89,Billy-Squier
Love Is The Hero,Billy Squier,09.27.86,17,12 Wks,10.11.86,Billy-Squier
Emotions In Motion,Billy Squier,08.07.82,20,12 Wks,09.18.82,Billy-Squier
Don't Let Me Go,Billy Squier,11.04.89,38,12 Wks,11.18.89,Billy-Squier
Angry,Billy Squier,04.17.93,15,12 Wks,05.01.93,Billy-Squier
Facts Of Life,Billy Squier,06.22.91,37,12 Wks,07.06.91,Billy-Squier
Eye On You,Billy Squier,01.05.85,29,12 Wks,01.05.85,Billy-Squier
Shot O' Love,Billy Squier,11.22.86,30,12 Wks,11.29.86,Billy-Squier
Can't Get Next To You,Billy Squier,09.29.84,51,12 Wks,10.06.84,Billy-Squier
SHE's A RUNNER,Billy Squier,03.12.83,44,12 Wks,03.12.83,Billy-Squier
KEEP ME SATISFIED,Billy Squier,08.07.82,46,12 Wks,08.07.82,Billy-Squier
One Step Closer,Linkin Park,09.16.00,4,12 Wks,01.20.01,Linkin-Park
In The End,Linkin Park,09.22.01,3,12 Wks,12.29.01,Linkin-Park
Crawling,Linkin Park,04.21.01,3,12 Wks,07.28.01,Linkin-Park
Numb,Linkin Park,10.11.03,1,3 WKS,01.03.04,Linkin-Park
Lost,Linkin Park,02.25.23,1,8 WKS,03.18.23,Linkin-Park
Faint,Linkin Park,06.21.03,2,12 Wks,08.23.03,Linkin-Park
What I've Done,Linkin Park,04.21.07,1,8 WKS,05.12.07,Linkin-Park
Given Up,Linkin Park,03.15.08,5,12 Wks,06.21.08,Linkin-Park
Somewhere I Belong,Linkin Park,03.15.03,1,1 WKS,04.12.03,Linkin-Park
